"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","LOGIN_TC08: khoảng trắng thừa trong username","","2026-08-06","skipped","2026-08-06","","","",""
"","1921","LOGIN_TC12: Forgot Password — điều hướng","Login Module","2026-08-06","passed","2026-08-06","","","",""
"","1915","LOGIN_TC11: XSS trong ô username","Login Module","2026-08-06","passed","2026-08-06","","","",""
"","897","LOGIN_TC05: bỏ trống password","Login Module","2026-08-06","passed","2026-08-06","","","",""
"","17922","LOGIN_TC19: username quá dài (>255 ký tự)","Login Module","2026-08-06","broken","2026-08-06","","","",""
"","1997","LOGIN_TC03: đăng nhập thất bại với username sai","Login Module","2026-08-06","passed","2026-08-06","","","",""
"","4417","LOGIN_TC18: nhớ trạng thái đăng nhập khi refresh","Login Module","2026-08-06","passed","2026-08-06","","","",""
"","2138","LOGIN_TC14: reset password — click Cancel","Login Module","2026-08-06","passed","2026-08-06","","","",""
"","0","LOGIN_TC13: reset password với username hợp lệ","","2026-08-06","skipped","2026-08-06","","","",""
"","1230","LOGIN_TC04: bỏ trống username","Login Module","2026-08-06","passed","2026-08-06","","","",""
"","4098","LOGIN_TC01: đăng nhập thành công với tài khoản hợp lệ","Login Module","2026-08-06","passed","2026-08-06","","","",""
"","2883","LOGIN_TC16: truy cập trang nội bộ khi chưa login","Login Module","2026-08-06","passed","2026-08-06","","","",""
"","14404","Should fail purposefully to test screenshot artifact","Login Module","2026-08-06","failed","2026-08-06","","","",""
"","3456","LOGIN_TC02: đăng nhập thất bại với password sai","Login Module","2026-08-06","passed","2026-08-06","","","",""
"","2863","LOGIN_TC20: ký tự đặc biệt Unicode trong username","Login Module","2026-08-06","passed","2026-08-06","","","",""
"","4860","LOGIN_TC15: đăng xuất (Logout)","Login Module","2026-08-06","passed","2026-08-06","","","",""
"","988","LOGIN_TC06: bỏ trống cả username và password","Login Module","2026-08-06","passed","2026-08-06","","","",""
"","11244","LOGIN_TC09: password phân biệt hoa thường","Login Module","2026-08-06","failed","2026-08-06","","","",""
"","1861","LOGIN_TC10: SQL Injection cơ bản trong username","Login Module","2026-08-06","passed","2026-08-06","","","",""
"","0","LOGIN_TC07: username phân biệt hoa thường","","2026-08-06","skipped","2026-08-06","","","",""
"","0","LOGIN_TC17: session sau khi logout (nút Back)","","2026-08-06","skipped","2026-08-06","","","",""
